Date,Sales,actual_vs_predicted
2013-01-01,97235.0,actual
2013-01-02,6949829.0,actual
2013-01-03,6347820.0,actual
2013-01-04,6638954.0,actual
2013-01-05,5951593.0,actual
2013-01-06,143904.0,actual
2013-01-07,10826848.0,actual
2013-01-08,8749437.0,actual
2013-01-09,7746603.0,actual
2013-01-10,7751485.0,actual
2013-01-11,8039306.0,actual
2013-01-12,6017491.0,actual
2013-01-13,144052.0,actual
2013-01-14,5886788.0,actual
2013-01-15,5512591.0,actual
2013-01-16,5293020.0,actual
2013-01-17,5386564.0,actual
2013-01-18,6137010.0,actual
2013-01-19,6010192.0,actual
2013-01-20,151600.0,actual
2013-01-21,8761074.0,actual
2013-01-22,8320289.0,actual
2013-01-23,7746563.0,actual
2013-01-24,7439836.0,actual
2013-01-25,7780789.0,actual
2013-01-26,5848770.0,actual
2013-01-27,142848.0,actual
2013-01-28,5878702.0,actual
2013-01-29,5452668.0,actual
2013-01-30,5909779.0,actual
2013-01-31,7068567.0,actual
2013-02-01,7203007.0,actual
2013-02-02,6781741.0,actual
2013-02-03,171565.0,actual
2013-02-04,10333651.0,actual
2013-02-05,8841604.0,actual
2013-02-06,8094803.0,actual
2013-02-07,7430076.0,actual
2013-02-08,7968566.0,actual
2013-02-09,6161019.0,actual
2013-02-10,172564.0,actual
2013-02-11,5517060.0,actual
2013-02-12,5563503.0,actual
2013-02-13,6175147.0,actual
2013-02-14,6422292.0,actual
2013-02-15,6255053.0,actual
2013-02-16,6162142.0,actual
2013-02-17,174467.0,actual
2013-02-18,10703641.0,actual
2013-02-19,7988672.0,actual
2013-02-20,7759768.0,actual
2013-02-21,7611880.0,actual
2013-02-22,7840974.0,actual
2013-02-23,5637945.0,actual
2013-02-24,159057.0,actual
2013-02-25,5615365.0,actual
2013-02-26,5671238.0,actual
2013-02-27,6008503.0,actual
2013-02-28,7108972.0,actual
2013-03-01,7244231.0,actual
2013-03-02,6779350.0,actual
2013-03-03,195229.0,actual
2013-03-04,11072682.0,actual
2013-03-05,8943536.0,actual
2013-03-06,8062941.0,actual
2013-03-07,7981811.0,actual
2013-03-08,8118153.0,actual
2013-03-09,6061383.0,actual
2013-03-10,164917.0,actual
2013-03-11,6194538.0,actual
2013-03-12,5338418.0,actual
2013-03-13,5830737.0,actual
2013-03-14,6098093.0,actual
2013-03-15,6783348.0,actual
2013-03-16,6459058.0,actual
2013-03-17,193072.0,actual
2013-03-18,10078195.0,actual
2013-03-19,8528292.0,actual
2013-03-20,7728892.0,actual
2013-03-21,7897067.0,actual
2013-03-22,8245992.0,actual
2013-03-23,6337911.0,actual
2013-03-24,191036.0,actual
2013-03-25,10482556.0,actual
2013-03-26,9305505.0,actual
2013-03-27,9674698.0,actual
2013-03-28,11417987.0,actual
2013-03-29,213921.0,actual
2013-03-30,9380402.0,actual
2013-03-31,176418.0,actual
2013-04-01,241076.0,actual
2013-04-02,7362049.0,actual
2013-04-03,6406442.0,actual
2013-04-04,6496112.0,actual
2013-04-05,6622062.0,actual
2013-04-06,6171054.0,actual
2013-04-07,189097.0,actual
2013-04-08,10115602.0,actual
2013-04-09,8418477.0,actual
2013-04-10,7698779.0,actual
2013-04-11,7580421.0,actual
2013-04-12,8056347.0,actual
2013-04-13,6024315.0,actual
2013-04-14,182641.0,actual
2013-04-15,5711125.0,actual
2013-04-16,5668517.0,actual
2013-04-17,5556697.0,actual
2013-04-18,5726233.0,actual
2013-04-19,6349901.0,actual
2013-04-20,6006147.0,actual
2013-04-21,188406.0,actual
2013-04-22,9542000.0,actual
2013-04-23,8047511.0,actual
2013-04-24,7177730.0,actual
2013-04-25,7121467.0,actual
2013-04-26,7652433.0,actual
2013-04-27,6308284.0,actual
2013-04-28,205232.0,actual
2013-04-29,10040182.0,actual
2013-04-30,10565093.0,actual
2013-05-01,200972.0,actual
2013-05-02,9884371.0,actual
2013-05-03,8967338.0,actual
2013-05-04,6487719.0,actual
2013-05-05,200337.0,actual
2013-05-06,6884920.0,actual
2013-05-07,6697752.0,actual
